index,开庭时间,案号,案由,开庭年月,案由类型,label_案由类型
0,2019年7月23日8点30分,（2019）桂0102民初4051号,产品责任纠纷,2019年07月,产品责任,其他
0,2019年7月23日15点30分,（2019）桂0102民初3894号,离婚后财产纠纷,2019年07月,离婚后财产,其他
0,2019年7月23日15点30分,（2018）桂0102民初4109号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月23日15点30分,（2019）桂0102民初4107号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月23日15点30分,（2019）桂0102民初1389号,股权转让纠纷,2019年07月,股权转让,其他
0,2019年7月23日15点30分,（2019）桂0102民初3780号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月23日15点30分,（2019）桂0102民初3841号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月23日15点30分,（2019）桂0102民初3877号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月23日15点30分,（2019）桂0102民初1150号,买卖合同,2019年07月,买卖合同,买卖合同
0,2019年7月23日15点30分,（2019）桂0102民初487号,追偿权纠纷,2019年07月,追偿权,其他
0,2019年7月24日8点30分,（2019）桂0102民初4028号,商品房预售合同纠纷,2019年07月,商品房预售合同,其他
0,2019年7月24日8点30分,（2018）桂0102民初4404～4406号,房屋租赁合同纠纷,2019年07月,房屋租赁合同,房屋租赁合同
0,2019年7月24日8点30分,（2019）桂0102民初3961号,租赁合同纠纷,2019年07月,租赁合同,租赁合同
0,2019年7月24日8点30分,（2019）桂0102民初2998号,健康权纠纷,2019年07月,健康权,健康权
0,2019年7月24日8点30分,（2019）桂0102民初3912号,金融借款合同纠纷,2019年07月,金融借款合同,其他
0,2019年7月24日8点30分,（2019）桂0102民4023号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月24日8点30分,（2019）桂0102民初3571号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月24日15点30分,（2019）桂0102民初3473号,不当得利纠纷,2019年07月,不当得利,其他
0,2019年7月24日15点30分,（2019）桂0102民初4056号,机动车交通事故责任纠纷,2019年07月,机动车交通事故责任,机动车交通事故责任
0,2019年7月24日15点30分,（2019）桂0102民初3142～3149号,物业服务合同纠纷,2019年07月,物业服务合同,物业服务合同
0,2019年7月24日15点30分,（2019）桂0102民初4088号,融资租赁合同纠纷,2019年07月,融资租赁合同,其他
0,2019年7月24日15点30分,（2019）桂0102民初4068号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月24日15点30分,（2019）桂0102民初4080号,名誉权纠纷,2019年07月,名誉权,其他
0,2019年7月25日8点30分,（2019）桂0102民初1549号,建筑设备租赁合同纠纷,2019年07月,建筑设备租赁合同,其他
0,2019年7月25日8点30分,（2019）桂0102民初3905～3907号,商品房预售合同纠纷,2019年07月,商品房预售合同,其他
0,2019年7月25日8点30分,（2019）桂0102民初3878号,股权转让纠纷,2019年07月,股权转让,其他
0,2019年7月25日10点00分,（2019）桂0102民初4055号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月25日8点30分,（2019）桂0102民初761、762号,金融借款合同纠纷,2019年07月,金融借款合同,其他
0,2019年7月25日8点30分,（2019）桂0102民初1774号,离婚后财产纠纷,2019年07月,离婚后财产,其他
0,2019年7月25日15点30分,（2019）桂0102民初3167号,租赁合同纠纷,2019年07月,租赁合同,租赁合同
0,2019年7月25日15点30分,（2019）桂0102民初3833号,劳动合同纠纷,2019年07月,劳动合同,劳动合同
0,2019年7月25日15点30分,（2019）桂0102民初4114号,提供劳务者受害责任纠纷,2019年07月,提供劳务者受害责任,其他
0,2019年7月25日15点30分,（2019）桂0102民初3450号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月25日15点30分,（2019）桂0102民初2465号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月25日15点30分,（2019）桂0102民初3601号,挂靠经营合同纠纷,2019年07月,挂靠经营合同,其他
0,2019年7月25日15点30分,（2019）桂0102民初364号,商品房预售合同纠纷,2019年07月,商品房预售合同,其他
0,2019年7月25日15点30分,（2019）桂0102民初4082号,房屋买卖合同纠纷,2019年07月,房屋买卖合同,房屋买卖合同
0,2019年7月26日8点30分,（2019）桂0102民初3883～3885号,劳动合同纠纷,2019年07月,劳动合同,劳动合同
0,2019年7月26日8点30分,（2018）桂0102民初952号,商品房预售合同纠纷,2019年07月,商品房预售合同,其他
0,2019年7月26日8点30分,（2019）桂0102民初4131号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月26日8点30分,（2019）桂0102民初4081号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月26日10点00分,（2019）桂0102民初4138号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月26日15点30分,（2019）桂0102民初303号,机动车交通事故责任纠纷,2019年07月,机动车交通事故责任,机动车交通事故责任
0,2019年7月26日15点30分,（2019）桂0102民初4112号,返还原物纠纷,2019年07月,返还原物,其他
0,2019年7月26日15点30分,（2019）桂0102民初3295号,房屋买卖合同纠纷,2019年07月,房屋买卖合同,房屋买卖合同
0,2019年7月26日15点30分,（2019）桂0102民初1783、1785号,车辆租赁合同纠纷,2019年07月,车辆租赁合同,其他
0,2019年7月15日8点30分,（2019）桂0102民初3833号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月15日8点30分,（2019）桂0102民3580号,侵权责任纠纷,2019年07月,侵权责任,其他
0,2019年7月15日8点30分,（2018）桂0102民初830号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月15日8点30分,（2019）桂0102民初2458号,担保责任追偿权纠纷,2019年07月,担保责任追偿权,其他
0,2019年7月15日8点30分,（2019）桂0102民初1825、1838号,合同纠纷,2019年07月,合同,合同
0,2019年7月15日8点30分,（2019）桂0102民初1699号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月15日15点30分,（2019）桂0102民初3383号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月15日15点30分,（2019）桂0102民初3976号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月15日15点30分,（2019）桂0102民初3966号,商品房预售合同纠纷,2019年07月,商品房预售合同,其他
0,2019年7月15日15点30分,（2019）桂0102民初3834号,劳动合同纠纷,2019年07月,劳动合同,劳动合同
0,2019年7月15日15点30分,（2019）桂0102民初3513号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月15日16点30分,（2019）桂0102民初3748号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月15日15点30分,（2019）桂0102民初851号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月15日15点30分,（2019）桂0102民初1175号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月16日8点30分,（2019）桂0102民初383号,共有纠纷,2019年07月,共有,其他
0,2019年7月16日8点30分,（2019）桂0102民初706号,装饰装修合同纠纷,2019年07月,装饰装修合同,其他
0,2019年7月16日8点30分,（2019）桂0102民初3964号,提供劳务者受害责任纠纷,2019年07月,提供劳务者受害责任,其他
0,2019年7月16日8点30分,（2019）桂0102民初3506号,侵权责任纠纷,2019年07月,侵权责任,其他
0,2019年7月16日10点00分,（2019）桂0102民初3979号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月16日8点30分,（2019）桂0102民初3348号,法定继承,2019年07月,法定继承,其他
0,2019年7月15日8点30分,（2019）桂0102民初3980号,合同纠纷,2019年07月,合同,合同
0,2019年7月16日8点30分,（2019）桂0102民初3959、3960号,合同纠纷,2019年07月,合同,合同
0,2019年7月16日15点30分,（2019）桂0102民初2968号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月16日15点30分,（2018）桂0102民初6706号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月16日15点30分,（2019）桂0102民初644号,追偿权纠纷,2019年07月,追偿权,其他
0,2019年7月16日15点30分,（2018）桂0102民初4340号,合同纠纷,2019年07月,合同,合同
0,2019年7月16日15点30分,（2019）桂0102民初3902号,劳动合同纠纷,2019年07月,劳动合同,劳动合同
0,2019年7月16日15点30分,（2019）桂0102民初3900号,劳务合同纠纷,2019年07月,劳务合同,其他
0,2019年7月16日15点30分,（2019）桂0102民初1567号,房屋买卖合同纠纷纷,2019年07月,房屋买卖合同纷,其他
0,2019年7月16日15点30分,（2019）桂0102民初1620号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月17日8点30分,（2019）桂0102民初4010号,所有权确认纠纷,2019年07月,所有权确认,其他
0,2019年7月17日8点30分,（2019）桂0102民初3994号,修理合同纠纷,2019年07月,修理合同,其他
0,2019年7月17日8点30分,（2019）桂0102民初3509～3512号,物业服务同纠纷,2019年07月,物业服务同,其他
0,2019年7月17日8点30分,（2019）桂0102民初3531号,机动车交通事故责任纠纷,2019年07月,机动车交通事故责任,机动车交通事故责任
0,2019年7月17日10点00分,（2019）桂0102民初3967号,承揽合同纠纷,2019年07月,承揽合同,其他
0,2019年7月17日8点30分,（2019）桂0102民初3349号,合同纠纷,2019年07月,合同,合同
0,2019年7月17日8点30分,（2019）桂0102民3930号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月17日15点30分,（2019）桂0102民初2382号,股权转让纠纷,2019年07月,股权转让,其他
0,2019年7月17日15点30分,（2019）桂0102民初3969号,劳动合同纠纷,2019年07月,劳动合同,劳动合同
0,2019年7月17日15点30分,（2019）桂0102民初1393号,财产损害赔偿纠纷,2019年07月,财产损害赔偿,其他
0,2019年7月17日15点30分,（2019）桂0102民初1599号,房屋买卖合同纠纷,2019年07月,房屋买卖合同,房屋买卖合同
0,2019年7月17日15点30分,（2019）桂0102民初1883号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月17日15点30分,（2019）桂0102民初1158号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月17日15点30分,（2019）桂0102民初1312号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月18日8点30分,（2019）桂0102民初3953号,侵害集体经济组织成员权益纠纷,2019年07月,侵害集体经济组织成员权益,其他
0,2019年7月18日8点30分,（2019）桂0102民初3835号,房屋租赁合同纠纷,2019年07月,房屋租赁合同,房屋租赁合同
0,2019年7月18日8点30分,（2019）桂0102民初3997号,承揽合同纠纷,2019年07月,承揽合同,其他
0,2019年7月18日10点00分,（2019）桂0102民初3887号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月18日8点30分,（2018）桂0102民初6544号,机动车交通事故责任纠纷,2019年07月,机动车交通事故责任,机动车交通事故责任
0,2019年7月18日8点30分,（2019）桂0102民初1954号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月18日8点30分,（2019）桂0102民初4031号,合同纠纷,2019年07月,合同,合同
0,2019年7月18日15点30分,（2019）桂0102民初924号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月18日15点30分,（2019）桂0102民初1282号,房屋买卖合同纠纷,2019年07月,房屋买卖合同,房屋买卖合同
0,2019年7月18日15点30分,（2019）桂0102民初3974号,房屋租赁合同纠纷,2019年07月,房屋租赁合同,房屋租赁合同
0,2019年7月18日15点30分,（2019）桂0102民初1354号,金融借款合同纠纷,2019年07月,金融借款合同,其他
0,2019年7月18日16点00分,（2019）桂0102民初3043号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月18日15点30分,（2019）桂0102民初1621、1623号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月18日15点30分,（2019）桂0102民初1241号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月19日8点30分,（2019）桂0102民初3839号,房屋拆迁安置补偿合同纠纷,2019年07月,房屋拆迁安置补偿合同,其他
0,2019年7月19日8点30分,（2019）桂0102民初3880号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月19日8点30分,（2018）桂0102民初5044号,房屋租赁合同纠纷,2019年07月,房屋租赁合同,房屋租赁合同
0,2019年7月19日8点30分,（2019）桂0102民初4005号,网络购物合同纠纷,2019年07月,网络购物合同,其他
0,2019年7月19日10点00分,（2019）桂0102民初4008号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月19日8点30分,（2019）桂0102民初4029号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月19日8点30分,（2019）桂0102民初3519号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月19日8点30分,（2019）桂0102民初4022号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月19日8点30分,（2019）桂0102民初4026号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月19日15点30分,（2019）桂0102民初1713号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月19日15点30分,（2019）桂0102民初864号,房屋买卖合同纠纷,2019年07月,房屋买卖合同,房屋买卖合同
0,2019年7月19日15点30分,（2019）桂0102民初1611、1612号,商品房预售合同纠纷,2019年07月,商品房预售合同,其他
0,2019年7月19日15点30分,（2019）桂0102民初4026号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月8日8点30分,（2019）桂0102民初2925～2940号,物业服务合同纠纷,2019年07月,物业服务合同,物业服务合同
0,2019年7月8日8点30分,（2019）桂0102民3163号,机动车交通事故责任纠纷,2019年07月,机动车交通事故责任,机动车交通事故责任
0,2019年7月8日8点30分,（2019）桂0102民初983号,民间借贷,2019年07月,民间借贷,民间借贷
0,2019年7月8日10点00分,（2019）桂0102民初2970号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月8日8点30分,（2019）桂0102民初407～418号,商品房预售合同纠纷,2019年07月,商品房预售合同,其他
0,2019年7月8日8点30分,（2019）桂0102民初489号,保险人代位求偿权纠纷,2019年07月,保险人代位求偿权,其他
0,2019年7月8日8点30分,（2019）桂0102民初1832号,融资租赁合同纠纷,2019年07月,融资租赁合同,其他
0,2019年7月8日8点30分,（2019）桂0102民初3394号,合同纠纷,2019年07月,合同,合同
0,2019年7月8日8点30分,（2019）桂0102民初3333号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月8日10点00分,（2019）桂0102民初3091,物业服务合同纠纷,2019年07月,物业服务合同,物业服务合同
0,2019年7月8日8点30分,（2019）桂0102民初3376号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月8日10点00分,（2019）桂0102民初3875号,承揽合同纠纷,2019年07月,承揽合同,其他
0,2019年7月8日15点30分,（2019）桂0102民初3484号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月8日16点30分,（2019）桂0102民初3496号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月8日15点30分,（2019）桂0102民初852号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月8日15点30分,（2019）桂0102民初1405、1407号,物业服务同纠纷,2019年07月,物业服务同,其他
0,2019年7月8日15点30分,（2019）桂0102民初581号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月8日15点30分,（2019）桂0102民初3296号,建设工程施工合同纠纷,2019年07月,建设工程施工合同,建设工程施工合同
0,2019年7月8日15点30分,（2019）桂0102民初3370号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月8日15点30分,（2019）桂0102民初3339号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月8日15点30分,（2019）桂0102民初3866号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月8日15点30分,（2019）桂0102民初2481号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月8日15点30分,（2019）桂0102民初3985号,变更抚养关系纠纷,2019年07月,变更抚养关系,其他
0,2019年7月8日15点30分,（2019）桂0102民初3894号,离婚后财产纠纷,2019年07月,离婚后财产,其他
0,2019年7月9日8点30分,（2018）桂0102民初4173号,民间借贷,2019年07月,民间借贷,民间借贷
0,2019年7月9日8点30分,（2018）桂0102民初4595号,房屋租赁合同纠纷,2019年07月,房屋租赁合同,房屋租赁合同
0,2019年7月9日10点30分,（2019）桂0102民初2691号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月9日10点00分,（2019）桂0102民初991号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月9日8点30分,（2019）桂0102民初1294号,房屋买卖合同纠纷,2019年07月,房屋买卖合同,房屋买卖合同
0,2019年7月9日8点30分,（2019）桂0102民初3392号,损害股东利益责任纠纷,2019年07月,损害股东利益责任,其他
0,2019年7月9日9点00分,（2019）桂0102民初527号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月9日10点00分,（2019）桂0102民初3888号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月9日8点30分,（2019）桂0102民初3879号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月8日10点00分,（2019）桂0102民初3895号,房屋租赁合同纠纷,2019年07月,房屋租赁合同,房屋租赁合同
0,2019年7月8日8点30分,（2019）桂0102民初3588号,建筑设备租赁合同纠纷,2019年07月,建筑设备租赁合同,其他
0,2019年7月9日8点30分,（2019）桂0102民初3995号,离婚后财产纠纷,2019年07月,离婚后财产,其他
0,2019年7月9日15点30分,（2019）桂0102民3386号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月9日15点30分,（2019）桂0102民初1592号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月9日15点30分,（2019）桂0102民初1016号,金融借款合同纠纷,2019年07月,金融借款合同,其他
0,2019年7月9日15点30分,（2019）桂0102民初1175号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月9日15点30分,（2018）桂0102民初6327号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月9日15点30分,（2019）桂0102民初3469号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月9日15点30分,（2019）桂0102民初3829号,商品房预售合同纠纷,2019年07月,商品房预售合同,其他
0,2019年7月9日15点30分,（2019）桂0102民初3544号,房屋租赁合同纠纷,2019年07月,房屋租赁合同,房屋租赁合同
0,2019年7月9日15点30分,（2019）桂0102民初3545号,房屋租赁合同纠纷,2019年07月,房屋租赁合同,房屋租赁合同
0,2019年7月9日15点30分,（2019）桂0102民初388、389号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月10日8点30分,（2019）桂0102民初3467号,民间借贷,2019年07月,民间借贷,民间借贷
0,2019年7月10日8点30分,（2019）桂0102民初2686号,劳动合同纠纷,2019年07月,劳动合同,劳动合同
0,2019年7月10日8点30分,（2019）桂0102民初2451、2452号,挂靠经营合同纠纷,2019年07月,挂靠经营合同,其他
0,2019年7月10日8点30分,（2019）桂0102民初3380号,建筑设备租赁合同纠纷,2019年07月,建筑设备租赁合同,其他
0,2019年7月10日8点30分,（2019）桂0102民初3774号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月10日10点00分,（2019）桂0102民初3881号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月10日8点30分,（2019）桂0102民初3832号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月10日9点30分,（2019）桂0102民初3901号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月10日10点30分,（2019）桂0102民初3932号,物业服务同纠纷,2019年07月,物业服务同,其他
0,2019年7月10日8点30分,（2019）桂0102民初3555号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月10日9点30分,（2019）桂0102民初3530号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月10日10点30分,（2019）桂0102民初3848号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月10日8点30分,（2019）桂0102民初3572～3574号,追偿权纠纷,2019年07月,追偿权,其他
0,2019年7月10日8点30分,（2019）桂0102民初3934号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月10日15点30分,（2019）桂0102民初3378号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月10日15点30分,（2019）桂0102民初2448号,财产损害赔偿纠纷,2019年07月,财产损害赔偿,其他
0,2019年7月10日15点30分,（2019）桂0102民初3351号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月10日15点30分,（2019）桂0102民初811号,金融借款合同纠纷,2019年07月,金融借款合同,其他
0,2019年7月10日15点30分,（2019）桂0102民初1014号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月10日15点30分,（2019）桂0102民初1004号,房屋买卖合同纠纷,2019年07月,房屋买卖合同,房屋买卖合同
0,2019年7月10日15点30分,（2019）桂0102民初3356号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月10日15点30分,（2019）桂0102民初3371号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月10日15点30分,（2019）桂0102民初3321号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月10日15点30分,（2019）桂0102民初3873号,商品房预售合同纠纷,2019年07月,商品房预售合同,其他
0,2019年7月10日15点30分,（2019）桂0102民初3903号,商品房预售合同纠纷,2019年07月,商品房预售合同,其他
0,2019年7月10日15点30分,（2019）桂0102民初3785号,法定继承纠纷,2019年07月,法定继承,其他
0,2019年7月11日8点30分,（2019）桂0102民初3462、3463号,租赁合同纠纷,2019年07月,租赁合同,租赁合同
0,2019年7月11日8点30分,（2019）桂0102民初3490号,房屋买卖合同纠纷,2019年07月,房屋买卖合同,房屋买卖合同
0,2019年7月11日8点30分,（2019）桂0102民初3152号,金融借款合同纠纷,2019年07月,金融借款合同,其他
0,2019年7月11日8点30分,（2019）桂0102民初1515号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月11日10点30分,（2019）桂0102民初3933号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月11日8点30分,（2019）桂0102民初763、1412、1413号,金融借款合同纠纷,2019年07月,金融借款合同,其他
0,2019年7月11日8点30分,（2018）桂0102民初3439号,共有纠纷,2019年07月,共有,其他
0,2019年7月11日8点30分,（2019）桂0102民初3505号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月11日10点00分,（2019）桂0102民初3515号,建筑设备租赁合同纠纷,2019年07月,建筑设备租赁合同,其他
0,2019年7月11日15点00分,（2019）桂0102民初322号,提供劳务者受害责任纠纷,2019年07月,提供劳务者受害责任,其他
0,2019年7月11日15点30分,（2019）桂0102民初540号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月11日16点30分,（2019）桂0102民初1788号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月11日15点30分,（2019）桂0102民初702号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月11日15点30分,（2019）桂0102民初1614号,劳务合同纠纷,2019年07月,劳务合同,其他
0,2019年7月11日15点30分,（2019）桂0102民初643号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月11日15点30分,（2019）桂0102民初1277号,租赁合同纠纷,2019年07月,租赁合同,租赁合同
0,2019年7月11日15点30分,（2019）桂0102民初3385号,离婚财产纠纷,2019年07月,离婚财产,其他
0,2019年7月11日16点30分,（2019）桂0102民初3970号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月11日15点30分,（2019）桂0102民初1704号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月12日8点30分,（2019）桂0102民初3082、3083号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月12日8点30分,（2019）桂0102民初1699号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月12日8点30分,（2019）桂0102民初2501号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月12日8点30分,（2018）桂0102民6703号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月12日8点30分,（2019）桂0102民初3568号,机动车交通事故责任纠纷,2019年07月,机动车交通事故责任,机动车交通事故责任
0,2019年7月12日8点30分,（2019）桂0102民初3548号,建设工程施工合同纠纷,2019年07月,建设工程施工合同,建设工程施工合同
0,2019年7月12日8点30分,（2019）桂0102民初3577号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月12日8点30分,（2019）桂0102民初3874号,机动车交通事故责任纠纷,2019年07月,机动车交通事故责任,机动车交通事故责任
0,2019年7月12日10点00分,（2019）桂0102民初3551号,委托合同纠纷,2019年07月,委托合同,其他
0,2019年7月12日8点30分,（2019）桂0102民初3603号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月12日8点30分,（2019）桂0102民初3830、3831号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月12日15点30分,（2019）桂0102民初3354号,离婚纠纷,2019年07月,离婚,离婚
0,2019年7月12日15点30分,（2018）桂0102民初4518号,机动车交通事故责任纠纷,2019年07月,机动车交通事故责任,机动车交通事故责任
0,2019年7月12日15点30分,（2019）桂0102民初1692号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月12日15点30分,（2019）桂0102民初1211号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月12日16点30分,（2019）桂0102民初3471号,民间借贷纠纷,2019年07月,民间借贷,民间借贷
0,2019年7月12日15点30分,（2019）桂0102民初1634号,买卖合同纠纷,2019年07月,买卖合同,买卖合同
0,2019年7月12日15点30分,（2019）桂0102民初3004号,法定继承纠纷,2019年07月,法定继承,其他
